Customer_ID,mrc_current_month,mvsf_br_amt_current_month,mvsf_mrc_current_month,num_subs_current_month,num_voice_subs_current_month,num_nonvoice_subs_current_month,rev_current_month,churn
0,161.66,131.66,130.0,2,2,0,131.66,0.0
1,46.92,45.0,35.0,1,0,1,46.92,0.0
2,229.15,229.15,155.0,2,2,0,229.15,0.0
3,101.53,91.53,75.0,1,1,0,91.53,0.0
4,559.9,460.39,330.97,6,4,2,475.55,1.0
5,167.73,147.73000000000005,150.0,2,2,0,147.73,0.0
6,45.46,45.46,45.46,1,1,0,45.46,0.0
7,158.66,148.66,80.46,2,1,1,148.66,0.0
8,67.83,67.83,45.0,1,1,0,67.83,0.0
9,84.96,74.96,75.0,1,1,0,74.96,0.0
10,140.5,120.5,130.0,2,2,0,120.5,0.0
11,219.04,157.93,207.5,3,3,0,157.93,0.0
12,508.05,463.05000000000007,292.0,5,3,2,463.05,0.0
13,70.0,70.0,50.0,1,1,0,70.0,0.0
14,465.45,371.28,335.0,5,5,0,376.51,0.0
15,1512.74,682.3900000000001,880.0,11,11,0,634.86,0.0
16,358.15,206.15,327.5,4,4,0,206.15,0.0
17,304.4,259.4,240.0,4,3,1,259.4,0.0
18,75.44,75.95,75.0,1,1,0,75.44,0.0
19,264.89,234.84,185.0,3,3,0,244.89,0.0
20,35.0,0.0,35.0,1,0,1,0.0,0.0
21,129.41,129.41,100.0,1,1,0,129.41,0.0
22,318.12,298.12,190.0,2,2,0,298.12,0.0
23,417.68,131.66,400.0,5,5,0,131.66,0.0
24,227.81,153.31,136.96,3,3,0,153.31,0.0
25,57.88,56.64,31.88,1,1,0,56.64,0.0
26,129.4,115.15,75.0,1,1,0,120.55,0.0
27,104.66,104.66,75.0,1,1,0,104.66,0.0
28,55.0,55.0,55.0,1,1,0,55.0,0.0
29,279.7,236.09,195.0,3,2,1,246.43,0.0
30,258.72,221.72,170.0,2,2,0,221.72,0.0
31,403.12,358.12,330.0,6,6,0,358.12,1.0
32,300.92,247.22,225.0,3,3,0,247.22,0.0
33,203.68,261.85,165.0,2,2,0,163.68,0.0
34,83.2,80.43,80.43,1,1,0,83.2,0.0
35,292.01,232.59,225.0,3,3,0,232.59,0.0
36,261.62,193.6,190.0,2,2,0,193.6,0.0
37,115.95,115.95,115.0,2,1,1,115.95,0.0
38,591.61,420.25000000000006,377.0,5,5,0,441.61,0.0
39,1152.37,1114.5700000000004,1036.64,19,13,6,1152.37,0.0
